Country,EV_sales_share,EV_stock_share,EV_stock,Public_slow_chargers,Public_fast_chargers,Population,Population_year,GDP_per_capita_PPP,GDP_per_capita_PPP_year,Electric_power_consumption,Electric_power_consumption_year,Low_carbon_electricity_share,Low_carbon_electricity_share_year,Renewable_installed_capacity_share,Renewable_generation_share,Total_public_chargers,EV_stock_per_1000_people,Total_public_chargers_per_1000_EVs,Slow_chargers_per_100000_people,Fast_chargers_per_100000_people
Slovakia,4.8,2.7,240483.0,12000.0,4400.0,5422069.0,2024.0,40319.0547230873,2024.0,4674.59930886162,2024.0,85.80623,2024.0,32.5826371231384,23.87,16400.0,44.35262627605808,68.19608870481488,221.31772944977277,81.14983413158335
Slovenia,8.1,2.7,240483.0,12000.0,4400.0,2127400.0,2024.0,48648.9078834081,2024.0,6449.65685813669,2024.0,76.06224,2024.0,50.048856752003125,43.65,16400.0,113.04080097771927,68.19608870481488,564.0688163956003,206.82523267838678
South Africa,0.61,0.066,5103.0,190.0,190.0,64007187.0,2024.0,13597.6538495998,2024.0,3247.14853342661,2023.0,15.663381,2024.0,17.548285376428854,13.17,380.0,0.07972542208424188,74.46600039192631,0.2968416656085824,0.2968416656085824
Spain,11.0,1.8,450034.0,28000.0,13000.0,48848840.0,2024.0,48460.2914069661,2024.0,5196.11110519718,2024.0,76.745926,2024.0,66.1359967248318,56.82,41000.0,9.212787857398457,91.10422768057525,57.31968251446708,26.612709738859714
Sweden,58.0,13.0,670050.0,38000.0,6600.0,10569709.0,2024.0,62978.9390459835,2024.0,12226.2590199976,2024.0,98.791756,2024.0,74.0063900007022,70.38,44600.0,63.393419818842695,66.56219685098128,359.5179394248224,62.4425894790481
Switzerland,28.0,7.3,340250.0,15000.0,4200.0,9005582.0,2024.0,82286.1801896488,2024.0,7117.25238857411,2024.0,98.098755,2024.0,43.05589202284133,70.82,19200.0,37.78212224373728,56.42909625275533,166.56336036915772,46.637740903364154
Thailand,13.0,1.2,225000.0,4700.0,8700.0,71668011.0,2024.0,21740.5403219261,2024.0,2965.2131060821,2023.0,14.840617,2024.0,21.603277171211623,17.58,13400.0,3.139475992992187,59.55555555555556,6.5580165186947905,12.139307172903123
Turkey,11.0,1.4,192000.0,6000.0,5900.0,85518661.0,2024.0,36154.490436557,2024.0,3730.82314747655,2024.0,45.61439,2024.0,51.55571730573625,48.57470588235295,11900.0,2.2451240203585505,61.97916666666667,7.01601256362047,6.899079020893464
United States,10.0,2.7,6319000.0,140000.0,53000.0,340110988.0,2024.0,75489.2664334817,2024.0,12835.2954006884,2024.0,41.869316,2024.0,35.15141269697829,24.33,193000.0,18.57922920149819,30.542807406235166,41.163033521281,15.58314840448495
United Kingdom,28.0,6.4,2170260.0,71000.0,17000.0,69226000.0,2024.0,52621.1790252979,2024.0,4198.22032184439,2024.0,64.931725,2024.0,50.54692951849268,52.53,88000.0,31.35035969144541,40.5481370895653,102.56262098055643,24.55724727703464
Uzbekistan,5.0,0.87,32400.0,12000.0,4400.0,36361859.0,2024.0,10450.2051402852,2024.0,2059.24963004498,2023.0,15.95092,2024.0,22.596874848822026,11.28,16400.0,0.8910435519812119,506.17283950617286,33.00161303634118,12.100591446658434
Vietnam,17.0,4.6,110170.0,2100.0,4000.0,100987686.0,2024.0,14415.2159532813,2024.0,2585.49409663119,2023.0,42.2821,2024.0,55.241862771616624,45.94,6100.0,1.0909250856584634,55.36897522011437,2.079461450379208,3.9608789531032524
