Country,EV_sales_share,EV_stock_share,EV_stock_per_1000_people,Total_public_chargers_per_1000_EVs,Slow_chargers_per_100000_people,Fast_chargers_per_100000_people,GDP_per_capita_PPP,Electric_power_consumption,Low_carbon_electricity_share,Renewable_installed_capacity_share,Renewable_generation_share
Slovenia,-0.5503674107351944,-0.31396118752624064,1.6261308556329395,-0.23417512914849464,1.4067329257991659,1.787759350126343,0.15418306765889095,-0.056828125035374495,0.6307709869233875,-0.07541578566791714,-0.1826944658445486
South Africa,-0.9632993502723703,-0.7852126223780154,-0.786129021528481,-0.17723032772651534,-0.7698750360798394,-0.7447181163788329,-1.4604976081493586,-0.5081398860299671,-1.5837232285666276,-1.7020136276997129,-1.3134274379182593
Spain,-0.39048722052720897,-0.474981039981289,-0.5910944048700384,-0.026118063910504884,-0.5497215432425482,-0.4220295863408097,0.14549420935567053,-0.23348338518919112,0.6558379950966958,0.7297179721937228,0.30588011559281275
Sweden,2.2006744828435885,1.5288215683482007,0.5659215314333566,-0.24901451633680266,0.6170039442598451,0.01732096795660535,0.8143142110303265,0.7572364237181815,1.464137420267563,1.1236176538495855,0.8089227370271801
Switzerland,0.5467414806920156,0.5090291694662283,0.018997688520403275,-0.3410457011684912,-0.1279541094900181,-0.17648010066727005,1.7037268736351168,0.037252415567469076,1.4387288822382467,-0.42540167380549315,0.8252456539468792
Thailand,-0.2802250203837708,-0.5823276082846545,-0.7207886952256585,-0.312650468023847,-0.7457019241714815,-0.5995042942112422,-1.085385167964372,-0.5478714842961895,-1.6138894626458744,-1.4990682447823105,-1.1498272933367286
Turkey,-0.39048722052720897,-0.5465454188501994,-0.7398873924453191,-0.2906386662101108,-0.7439336953793856,-0.6637606400300088,-0.4213881911455113,-0.4399783015210432,-0.48558433527082245,-3.5561444975929306e-16,0.0
United States,-0.44561832059892803,-0.31396118752624064,-0.3910760309742477,-0.5761510186719673,-0.6120990511928072,-0.5572754738808557,1.3906183815214643,0.8430645476791773,-0.6228956164256876,-0.8210073037882545,-0.8994189087731607
United Kingdom,0.5467414806920156,0.34800931701118015,-0.11835124046249751,-0.48528027911277005,-0.37504783738610614,-0.44723392915437093,0.33717079887369195,-0.3741106064333363,0.22267617369314338,-0.050488098157918576,0.14673167562574524
Uzbekistan,-0.7212738209575235,-0.6413682208515055,-0.7688034944587587,3.743631951148231,-0.6436086217355257,-0.5999790313833727,-1.6054888431027783,-0.6755438992630138,-1.573180753712462,-1.4493403855526255,-1.3835417855960583
Vietnam,-0.059700620096894405,0.025969612101083436,-0.7645350665821345,-0.3506739678330915,-0.7629927067153955,-0.6997892239320753,-1.4228355681888376,-0.6013831812108029,-0.6077610957512684,0.1844852569183592,-0.09774110278520487
